"job_id","job_title","job_schedule_type","yearly_salary","company_name","skills"
502610,"Lead Business Intelligence Engineer","Full-time","220000.0","Noom","sql"
502610,"Lead Business Intelligence Engineer","Full-time","220000.0","Noom","python"
502610,"Lead Business Intelligence Engineer","Full-time","220000.0","Noom","excel"
502610,"Lead Business Intelligence Engineer","Full-time","220000.0","Noom","tableau"
502610,"Lead Business Intelligence Engineer","Full-time","220000.0","Noom","looker"
502610,"Lead Business Intelligence Engineer","Full-time","220000.0","Noom","chef"
112859,"Manager II, Applied Science - Marketplace Dynamics","Full-time","214500.0","Uber","python"
17458,"Senior Economy Designer","Full-time","190000.0","Harnham","sql"
17458,"Senior Economy Designer","Full-time","190000.0","Harnham","python"
17458,"Senior Economy Designer","Full-time","190000.0","Harnham","r"
416185,"Staff Revenue Operations Analyst","Full-time","170500.0","Gladly","excel"
1099753,"REMOTE - Business Intelligence Analyst (Leadership Role) - GCP","Full-time","162500.0","CyberCoders","sql"
1099753,"REMOTE - Business Intelligence Analyst (Leadership Role) - GCP","Full-time","162500.0","CyberCoders","python"
1099753,"REMOTE - Business Intelligence Analyst (Leadership Role) - GCP","Full-time","162500.0","CyberCoders","bigquery"
1099753,"REMOTE - Business Intelligence Analyst (Leadership Role) - GCP","Full-time","162500.0","CyberCoders","gcp"
1099753,"REMOTE - Business Intelligence Analyst (Leadership Role) - GCP","Full-time","162500.0","CyberCoders","looker"
1099753,"REMOTE - Business Intelligence Analyst (Leadership Role) - GCP","Full-time","162500.0","CyberCoders","word"
1099753,"REMOTE - Business Intelligence Analyst (Leadership Role) - GCP","Full-time","162500.0","CyberCoders","sheets"
1313937,"Manager Analytics and Reporting","Full-time","145000.0","CyberCoders","sql"
1313937,"Manager Analytics and Reporting","Full-time","145000.0","CyberCoders","excel"
1313937,"Manager Analytics and Reporting","Full-time","145000.0","CyberCoders","tableau"
106225,"Business Strategy Analyst Senior (Hybrid)","Full-time","138640.0","USAA","sql"
106225,"Business Strategy Analyst Senior (Hybrid)","Full-time","138640.0","USAA","python"
106225,"Business Strategy Analyst Senior (Hybrid)","Full-time","138640.0","USAA","r"
106225,"Business Strategy Analyst Senior (Hybrid)","Full-time","138640.0","USAA","sas"
106225,"Business Strategy Analyst Senior (Hybrid)","Full-time","138640.0","USAA","phoenix"
106225,"Business Strategy Analyst Senior (Hybrid)","Full-time","138640.0","USAA","excel"
106225,"Business Strategy Analyst Senior (Hybrid)","Full-time","138640.0","USAA","tableau"
106225,"Business Strategy Analyst Senior (Hybrid)","Full-time","138640.0","USAA","sas"
661103,"Marketing Analytics Manager","Full-time","134550.0","Get It Recruit - Marketing","tableau"
903695,"Business Strategy Analyst Senior – Advanced Analytics and Data...","Full-time","133340.0","USAA","python"
903695,"Business Strategy Analyst Senior – Advanced Analytics and Data...","Full-time","133340.0","USAA","r"
903695,"Business Strategy Analyst Senior – Advanced Analytics and Data...","Full-time","133340.0","USAA","phoenix"
903695,"Business Strategy Analyst Senior – Advanced Analytics and Data...","Full-time","133340.0","USAA","excel"
903695,"Business Strategy Analyst Senior – Advanced Analytics and Data...","Full-time","133340.0","USAA","tableau"
1745209,"Sr. Analyst, Business Analytics","Full-time","130000.0","Happier Living","sql"
1745209,"Sr. Analyst, Business Analytics","Full-time","130000.0","Happier Living","tableau"
947994,"Business Intelligence Architect","Full-time","128500.0","Get It Recruit - Information Technology","sas"
947994,"Business Intelligence Architect","Full-time","128500.0","Get It Recruit - Information Technology","sas"
757837,"Finance Director","Full-time","127500.0","One Call","oracle"
757837,"Finance Director","Full-time","127500.0","One Call","excel"
757837,"Finance Director","Full-time","127500.0","One Call","tableau"
757837,"Finance Director","Full-time","127500.0","One Call","powerpoint"
757837,"Finance Director","Full-time","127500.0","One Call","visio"
1057651,"Business Intelligence Lead - Remote","Full-time","124500.0","CenterWell Senior Primary Care","sql"
1057651,"Business Intelligence Lead - Remote","Full-time","124500.0","CenterWell Senior Primary Care","sas"
1057651,"Business Intelligence Lead - Remote","Full-time","124500.0","CenterWell Senior Primary Care","tableau"
1057651,"Business Intelligence Lead - Remote","Full-time","124500.0","CenterWell Senior Primary Care","sas"
1057651,"Business Intelligence Lead - Remote","Full-time","124500.0","CenterWell Senior Primary Care","qlik"
1226037,"Business Intelligence Analyst -Remote","Full-time","121500.0","NRG","sql"
1226037,"Business Intelligence Analyst -Remote","Full-time","121500.0","NRG","excel"
1226037,"Business Intelligence Analyst -Remote","Full-time","121500.0","NRG","power bi"
145934,"Analytics Manager, Sales","Full-time","120000.0","MongoDB","sql"
145934,"Analytics Manager, Sales","Full-time","120000.0","MongoDB","python"
145934,"Analytics Manager, Sales","Full-time","120000.0","MongoDB","r"
145934,"Analytics Manager, Sales","Full-time","120000.0","MongoDB","mongodb"
145934,"Analytics Manager, Sales","Full-time","120000.0","MongoDB","mongodb"
414798,"Business Intelligence Analyst-Mid-Level (Hybrid)","Full-time","114500.0","United Services Automobile Association","sql"
414798,"Business Intelligence Analyst-Mid-Level (Hybrid)","Full-time","114500.0","United Services Automobile Association","python"
414798,"Business Intelligence Analyst-Mid-Level (Hybrid)","Full-time","114500.0","United Services Automobile Association","nosql"
414798,"Business Intelligence Analyst-Mid-Level (Hybrid)","Full-time","114500.0","United Services Automobile Association","java"
414798,"Business Intelligence Analyst-Mid-Level (Hybrid)","Full-time","114500.0","United Services Automobile Association","db2"
414798,"Business Intelligence Analyst-Mid-Level (Hybrid)","Full-time","114500.0","United Services Automobile Association","oracle"
414798,"Business Intelligence Analyst-Mid-Level (Hybrid)","Full-time","114500.0","United Services Automobile Association","snowflake"
414798,"Business Intelligence Analyst-Mid-Level (Hybrid)","Full-time","114500.0","United Services Automobile Association","hadoop"
414798,"Business Intelligence Analyst-Mid-Level (Hybrid)","Full-time","114500.0","United Services Automobile Association","tableau"
1202207,"Sr. Financial Business Intelligence Analyst","Full-time","111500.0","Glocomms","sql"
1202207,"Sr. Financial Business Intelligence Analyst","Full-time","111500.0","Glocomms","excel"
1202207,"Sr. Financial Business Intelligence Analyst","Full-time","111500.0","Glocomms","tableau"
1202207,"Sr. Financial Business Intelligence Analyst","Full-time","111500.0","Glocomms","power bi"
1202207,"Sr. Financial Business Intelligence Analyst","Full-time","111500.0","Glocomms","powerpoint"
1202207,"Sr. Financial Business Intelligence Analyst","Full-time","111500.0","Glocomms","ssrs"
41537,"Senior Marketing Operations Analyst","Full-time","111500.0","Get It Recruit - Marketing","sql"
41537,"Senior Marketing Operations Analyst","Full-time","111500.0","Get It Recruit - Marketing","looker"
160165,"Head, Research and Innovation","Full-time","110000.0","Vendease","sas"
160165,"Head, Research and Innovation","Full-time","110000.0","Vendease","javascript"
160165,"Head, Research and Innovation","Full-time","110000.0","Vendease","postgresql"
160165,"Head, Research and Innovation","Full-time","110000.0","Vendease","elasticsearch"
160165,"Head, Research and Innovation","Full-time","110000.0","Vendease","databricks"
160165,"Head, Research and Innovation","Full-time","110000.0","Vendease","oracle"
160165,"Head, Research and Innovation","Full-time","110000.0","Vendease","kafka"
160165,"Head, Research and Innovation","Full-time","110000.0","Vendease","tensorflow"
160165,"Head, Research and Innovation","Full-time","110000.0","Vendease","pytorch"
160165,"Head, Research and Innovation","Full-time","110000.0","Vendease","mxnet"
160165,"Head, Research and Innovation","Full-time","110000.0","Vendease","chainer"
160165,"Head, Research and Innovation","Full-time","110000.0","Vendease","node.js"
160165,"Head, Research and Innovation","Full-time","110000.0","Vendease","tableau"
160165,"Head, Research and Innovation","Full-time","110000.0","Vendease","power bi"
160165,"Head, Research and Innovation","Full-time","110000.0","Vendease","sas"
933221,"Business Intelligence Analyst II - Service","Full-time","106479.0","Edward Jones","sql"
933221,"Business Intelligence Analyst II - Service","Full-time","106479.0","Edward Jones","nosql"
933221,"Business Intelligence Analyst II - Service","Full-time","106479.0","Edward Jones","oracle"
933221,"Business Intelligence Analyst II - Service","Full-time","106479.0","Edward Jones","hadoop"
90903,"Marketing Analyst","Full-time","106000.0","Blend","sql"
90903,"Marketing Analyst","Full-time","106000.0","Blend","excel"
1353405,"Business Intelligence (BI) Developer/Analyst","Full-time","105000.0","Get It Recruit - Information Technology","sql"
1353405,"Business Intelligence (BI) Developer/Analyst","Full-time","105000.0","Get It Recruit - Information Technology","power bi"
1268310,"Business Intelligence Analyst","Full-time","100000.0","Stepped Care Solutions","excel"
1268310,"Business Intelligence Analyst","Full-time","100000.0","Stepped Care Solutions","tableau"
473688,"Business Analyst - Data Quality (REMOTE)","Full-time","100000.0","Armavel, LLC","sql"
473688,"Business Analyst - Data Quality (REMOTE)","Full-time","100000.0","Armavel, LLC","python"
